"ExtendedID","Subject1Tag","Subject2Tag","RelationshipPath","R","MultipleBirth","IsMz","Subject1LastSurvey","Subject2LastSurvey","RImplicitPass1","RImplicit","RImplicit2004","RImplicitDifference","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","GenerationSubject1","GenerationSubject2","Subject1ID","Subject2ID"
2,201,202,2,0.5,0,0,2004,2004,0.5,0.5,0.5,0,NA,NA,0.5,NA,NA,2,2,201,202
3,301,302,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,301,302
3,301,303,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,301,303
3,302,303,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,302,303
3,401,403,2,0.25,0,0,1998,NA,NA,0.25,0.25,0,NA,NA,NA,NA,NA,2,2,401,403
8,801,802,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,801,802
8,801,803,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,801,803
8,802,803,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,802,803
10,1001,1002,2,0.5,0,0,2002,1994,0.5,0.5,0.5,0,NA,NA,0.5,NA,NA,2,2,1001,1002
12,1201,1202,2,0.5,0,0,1994,1994,0.5,0.5,0.5,0,NA,NA,0.5,NA,NA,2,2,1201,1202
16,1601,1602,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,1601,1602
16,1601,1603,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,NA,2,2,1601,1603
16,1602,1603,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,NA,2,2,1602,1603
25,2501,2502,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,2501,2502
27,2701,2702,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,2701,2702
29,3001,3002,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,3001,3002
29,3001,3003,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,3001,3003
29,3002,3003,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,3002,3003
34,3501,3502,2,0.5,0,0,1998,1998,0.5,0.5,0.5,0,NA,NA,0.5,NA,NA,2,2,3501,3502
43,4301,4302,2,0.25,0,0,2008,2008,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,2,2,4301,4302
43,4301,4303,2,0.25,0,0,2008,2008,NA,0.25,0.25,0,0.25,0.25,0.25,0.25,NA,2,2,4301,4303
43,4301,4304,2,0.25,0,0,2008,2008,NA,0.25,0.375,-0.125,0.25,0.25,0.25,0.25,NA,2,2,4301,4304
43,4302,4303,2,0.25,0,0,2008,2008,0.25,0.25,0.25,0,0.5,0.5,0.25,0.5,NA,2,2,4302,4303
43,4302,4304,2,0.25,0,0,2008,2008,0.25,0.25,0.25,0,0.5,0.5,0.25,0.5,NA,2,2,4302,4304
43,4303,4304,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,NA,0.5,NA,NA,2,2,4303,4304
44,4401,4402,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,4401,4402
46,4601,4602,2,0.5,0,0,2006,2006,0.5,0.5,0.5,0,NA,NA,0.5,NA,NA,2,2,4601,4602
49,4901,4902,2,0.5,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,4901,4902
50,5001,5002,2,0.25,0,0,2002,2006,0.25,0.25,0.375,-0.125,0.25,0.25,0.25,NA,0.25,2,2,5001,5002
