"SubjectTag","SurveyYear","Age","Generation","Gender","InchesTotal","HeightZAgeGender"
108002,2010,19,2,1,75,1.51799490766511
108003,2010,16,2,1,65,-1.42811230854419
108201,2010,17,2,1,70,0.0188840227604028
108301,2006,22,2,2,67,0.879081823385459
108302,2008,20,2,1,72,0.49798167713349
108801,2008,20,2,1,70,-0.159373996370738
108802,2010,20,2,1,68,-0.816729669874966
108803,2008,17,2,1,72,0.666272755981668
108804,2010,16,2,2,60,-1.60992921028467
109001,2004,23,2,2,63,-0.508360431942781
109002,2006,23,2,2,62,-0.836676544239161
109003,2010,20,2,1,72,0.49798167713349
110301,2010,17,2,2,65,0.132011695342728
110401,2010,19,2,2,66,0.466215815811856
110801,2010,23,2,1,70,-0.0730151831008213
110802,2010,19,2,2,68,1.15518480039189
111101,1996,20,2,1,72,0.49798167713349
111102,2008,23,2,1,72,0.573494841913946
111201,2008,23,2,1,69,-0.396270195608205
111202,2010,23,2,2,63,-0.508360431942781
111601,2010,21,2,1,75,1.51673611592514
111702,2010,16,2,2,65,0.190460375323854
111801,2010,24,2,1,65,-1.82935826019939
112301,2002,24,2,1,69,-0.495828081422358
112302,2002,23,2,1,72,0.573494841913946
112303,2004,22,2,1,70,-0.145004862380408
112304,2008,21,2,1,66,-1.400108192407
112305,2008,17,2,1,69,-0.30481034385023
113001,2010,20,2,2,63,-0.567638466382888
113002,2010,17,2,2,62,-0.894015146751651
113101,2010,22,2,2,62,-0.939376381136813
113201,2008,23,2,1,68,-0.719525208115589
113202,2010,21,2,2,62,-0.871595588657143
114101,2008,23,2,2,67,0.804904017242739
114102,2010,24,2,2,64,-0.205724056306393
115201,2006,24,2,2,63,-0.570531741391015
115202,2010,23,2,2,68,1.13322012953912
115203,2010,19,2,1,73,0.886509026076423
115701,2004,24,2,2,66,0.523891313862852
115801,2010,24,2,2,66,0.523891313862852
115802,2010,22,2,2,65,0.15169854157655
115901,2010,20,2,1,67,-1.14540750662708
116001,2008,23,2,2,63,-0.508360431942781
116002,2010,21,2,2,64,-0.191086130713889
116101,2000,24,2,1,71,0.170937007966158
116102,2002,23,2,1,72,0.573494841913946
116301,2004,24,2,2,69,1.61831436911672
116302,2010,23,2,1,71,0.250239829406562
116401,2004,22,2,2,63,-0.575684740232358
116402,2008,19,2,1,70,-0.0607197963066047
116501,2002,23,2,1,72,0.573494841913946
116502,2006,24,2,1,76,1.83784973143745
116503,2006,23,2,1,75,1.5432598794361
116601,2008,24,2,2,64,-0.205724056306393
116602,2010,20,2,2,57,-2.7025168175121
116801,2004,23,2,1,70,-0.0730151831008213
117001,2010,24,2,1,72,0.504319552660416
117002,2010,22,2,1,71,0.183834616323276
117003,2010,19,2,1,70,-0.0607197963066047
117004,2010,17,2,2,63,-0.552006199386858
117201,2002,18,2,2,69,1.54791437360958
117203,2010,23,2,1,71,0.250239829406562
117701,2010,21,2,1,70,-0.103732944259383
117702,2010,17,2,1,70,0.0188840227604028
117901,2010,24,2,1,70,-0.1624455367281
117902,2010,21,2,1,72,0.544454679814426
118101,2006,23,2,1,72,0.573494841913946
118102,2008,19,2,1,70,-0.0607197963066047
118401,2008,23,2,2,63,-0.508360431942781
118402,2010,22,2,2,66,0.515390182481005
118701,2010,22,2,1,72,0.512674095026959
118702,2010,18,2,2,68,1.19363737260506
118703,2010,16,2,2,66,0.55053829244556
119101,2006,23,2,2,61,-1.16499265653554
119901,2000,23,2,2,61,-1.16499265653554
119902,2008,19,2,1,61,-2.90240626345569
120001,2010,21,2,1,70,-0.103732944259383
120002,2010,18,2,1,65,-1.78611386563429
120201,2006,24,2,1,70,-0.1624455367281
120202,2008,22,2,1,71,0.183834616323276
120301,2008,20,2,1,69,-0.488051833122852
120302,2008,18,2,1,66,-1.44858053669552
120701,2004,24,2,2,67,0.888698998947474
120702,2008,24,2,2,66,0.523891313862852
120901,1994,18,2,1,68,-0.773513878817999
120902,2008,23,2,2,67,0.804904017242739
120903,2010,22,2,2,62,-0.939376381136813
121001,1996,21,2,2,71,2.1906969720875
121002,2000,23,2,2,62,-0.836676544239161
121003,2010,24,2,1,73,0.837702097354673
121004,2010,21,2,2,67,0.829678056200991
121005,2010,20,2,1,69,-0.488051833122852
121006,2010,20,2,1,66,-1.47408534337919
121201,1996,22,2,2,62,-0.939376381136813
121202,2010,16,2,1,71,0.440733224407179
121301,2002,21,2,1,71,0.220360867777522
121302,2008,24,2,1,70,-0.1624455367281
121401,2006,24,2,2,64,-0.205724056306393
121601,2002,24,2,1,67,-1.16259317081087
121603,2006,24,2,2,69,1.61831436911672
121604,2010,22,2,2,64,-0.211993099327904
122001,2008,23,2,2,62,-0.836676544239161
122002,2010,22,2,1,76,1.82803200984169
122101,2000,24,2,2,62,-0.935339426475638
