"ID","Afqt80","Afqt89","Afqt06"
"2012","44","51","39888"
"2013","93","85","86555"
"2014","67","73","54184"
"2015","3","3","6573"
"2016","66","63","67793"
"2017","26","23","29830"
"2018","54","63","72231"
"2019","80","80","86358"
"2020","16","18","23806"
"2021","75","71","60008"
"2022","15","17","23959"
"2023","39","48","46161"
"2024","92","93","89508"
"2025",".",".","."
"2026",".",".","."
"2027","97","96","93336"
"2028","71","67","50691"
"2029","84","95","93935"
"2030","70","77","77209"
"2031","1","1","2044"
"2032","15","15","22171"
"2033","73","54","66318"
"2034","67","52","56852"
"2035","62","63","78055"
"2036","39","46","36264"
"2037","87","78","91541"
"2038","88","93","97360"
"2039",".",".","."
"2040","73","71","85929"
"2041","47","57","72820"
"2042","88","89","91215"
"2043","76","87","79655"
"2044","87","78","72869"
"2045","24","32","56026"
"2046","13","11","27156"
"2047","69","68","73594"
"2048","93","93","94568"
"2049","82","84","88874"
"2050","37","35","36232"
"2051","11","7","6945"
"2052",".",".","."
"2053","55","58","51878"
"2054","13","6","4867"
"2055","81","71","68805"
"2056","58","57","57501"
"2057","25","27","31002"
"2058","71","70","80403"
"2059","9","10","14787"
"2060","35","34","47712"
"2061","91","80","88199"
"2062","42","30","39555"
"2063","38","36","43820"
"2064","58","41","33020"
"2065",".",".","."
"2066","16","20","27605"
"2067","38","42","43433"
"2068","49","54","55547"
"2069","90","93","94465"
"2070","18","12","13237"
"2071","78","74","88381"
"2072","85","80","89269"
"2073","89","86","85923"
"2074","74","76","77334"
"2075","80","78","59435"
"2076","49","41","30985"
"2077","29","36","38150"
"2078","1","1","0"
"2079","32","37","38187"
"2080","78","70","59980"
"2081","58","58","51661"
"2082","63","50","63727"
"2083","99","92","94930"
"2084","98","97","91686"
"2085","46","52","54815"
"2086","36","45","39837"
"2087","49","53","48513"
"2088","67","67","56782"
"2089","21","17","20616"
"2090","16","13","22220"
"2091","5","3","1004"
"2092","10","8","8053"
"2093","67","70","69551"
"2094","7","8","7262"
"2095","99","99","96803"
"2096",".",".","32475"
"2097","42","29","34695"
"2098","21","17","22637"
"2099","34","25","35591"
"2100","97","97","89871"
"2101","86","87","81726"
"2102","43","39","41532"
"2103","47","52","48443"
"2104","83","75","68950"
"2105","34","33","32761"
"2106","60","52","37240"
"2107","81","81","73284"
"2108","77","81","75839"
"2109","57","52","48671"
"2110","91","85","88668"
"2111","80","70","83141"
"2112","89","82","80376"
"2113","99","96","96423"
"2114","24","30","41386"
"2115","14","18","15430"
"2116","16","18","16465"
"2117","14","17","14899"
"2118","23","25","29846"
"2119","74","70","60326"
"2120","43","41","51624"
"2121","31","30","23368"
"2122","4","8","9545"
"2123","50","56","60172"
"2124","59","67","84248"
"2125","63","44","41508"
"2126","77","66","72964"
"2127","13","15","19922"
"2128","12","10","15610"
"2129","39","35","37305"
"2130","49","51","49192"
"2131","16","12","11193"
"2132","54","45","55993"
"2133","52","51","48488"
"2134","5","7","9566"
"2135","12","15","18212"
"2136","59","56","55103"
"2137","38","49","58069"
"2138","55","64","71840"
"2139","71","80","73026"
"2140","39","29","40889"
"2141","21","15","15355"
"2142","49","48","45000"
"2143","33","37","35041"
"2144","97","93","94079"
"2145","56","57","61172"
"2146","60","53","55691"
"2147","90","85","77202"
"2148","46","53","63751"
"2149","78","74","90353"
"2150","21","23","21693"
"2151","71","75","83719"
"2152","55","47","46721"
"2153","39","39","37209"
"2154","90","95","95048"
"2155","55","70","81840"
"2156","33","32","53265"
"2157","49","39","37901"
"2158","68","68","63872"
"2159","58","64","66343"
"2160","2","3","2670"
"2161","77","71","75888"
"2162","71","74","83656"
"2163","35","41","28730"
"2164","46","49","64628"
"2165","25","31","26635"
"2166",".",".","."
"2167","35","32","31225"
"2168","93","86","88021"
"2169","62","63","68018"
"2170","63","72","74954"
"2171","17","23","25417"
"2172","40","31","35637"
"2173","60","59","61735"
"2174","35","28","37546"
"2175","24","15","10247"
"2176","50","40","41967"
"2177",".",".","."
"2178","71","54","72005"
"2179","2","2","1150"
"2180","35","41","45257"
"2181","35","48","59167"
"2182","82","65","75725"
"2183","44","56","49559"
"2184","69","71","72382"
"2185","54","50","56926"
"2186","94","80","85259"
"2187","34","40","36060"
"2188","23","14","17457"
"2189","63","71","78361"
"2190","37","25","22950"
"2191","42","41","32061"
"2192",".",".","."
"2193",".",".","."
"2194","13","10","13425"
"2195","19","19","20150"
"2196","60","44","42225"
"2197","1","5","9445"
"2198","42","41","38900"
"2199","60","71","72237"
"2200","81","91","96691"
"2201","39","42","36411"
"2202","71","79","81080"
"2203","35","28","26932"
"2204","64","61","61699"
"2205","51","51","53188"
"2206","4","5","6257"
"2207","79","59","70593"
"2208","21","21","23700"
"2209","13","16","18385"
"2210","21","15","24295"
"2211","17","15","20545"
"2212","16","13","23030"
"2213","4","5","17477"
"2214","38","27","34895"
"2215","81","74","82989"
"2216","52","47","49406"
"2217","51","54","43910"
"2218","67","48","63184"
"2219","41","46","56923"
"2220","99","99","97867"
"2221","94","92","89867"
"2222","99","97","92442"
"2223","33","39","39914"
"2224","13","13","17081"
"2225","17","16","16597"
"2226","5","6","10061"
"2227","32","30","36775"
"2228","23","14","14828"
"2229","52","54","64933"
"2230","79","78","88797"
"2231",".",".","."
"2232","38","35","44225"
"2233","44","36","46278"
"2234","46","41","47958"
"2235","59","61","51156"
"2236","35","52","63275"
"2237","84","88","92195"
"2238","84","90","86256"
"2239","99","98","97213"
"2240","18","12","7800"
"2241","50","45","43809"
"2242","58","59","56049"
"2243","76","74","68307"
"2244",".",".","."
"2245","67","71","77208"
"2246","49","79","78739"
"2247","78","65","68218"
"2248","72","61","45670"
"2249","10","4","2409"
"2250","6","5","9393"
"2251","6","8","6124"
"2252","5","6","8956"
"2253","8","8","10357"
"2254","6","6","5171"
"2255","10","13","16200"
"2256","34","41","46836"
"2257","18","22","31476"
"2258","1","1","69"
"2259","14","22","26578"
"2260","17","15","16199"
"2261","4","3","7878"
"2262","11","11","10575"
"2263","43","48","57599"
"2264","33","35","42749"
"2265","22","19","20490"
"2266","3","6","5007"
"2267","6","5","3045"
"2268","13","15","23549"
"2269","7","4","3375"
"2270","16","16","21855"
"2271","17","16","18606"
"2272","49","52","58780"
"2273","5","4","3021"
"2274","6","7","6793"
"2275","27","25","49501"
"2276","46","41","62253"
"2277","77","89","96662"
"2278","82","87","77514"
"2279",".",".","."
"2280",".",".","."
"2281","13","15","9608"
"2282","52","69","71586"
"2283","64","52","37632"
"2284","86","97","95913"
"2285","89","78","72013"
"2286","87","84","96655"
"2287","78","89","92330"
"2288","49","59","78609"
"2289","49","49","46780"
"2290","94","91","93861"
"2291","94","93","95949"
"2292","58","74","80035"
"2293","71","79","75293"
"2294","44","59","68092"
"2295","35","34","39889"
"2296","20","21","30730"
"2297","53","53","57468"
"2298","99","95","96456"
"2299","99","99","97706"
"2300","76","84","71562"
"2301","87","86","86817"
"2302","89","87","80788"
"2303","79","84","72933"
"2304","46","42","38541"
"2305","2","4","6098"
"2306","8","11","11194"
"2307","1","2","8791"
"2308","28","29","36775"
"2309","20","22","27015"
"2310","20","20","31605"
"2311","41","39","29285"
"2312","99","99","97015"
"2313","54","48","49802"
"2314","77","75","61328"
"2315","10","9","4263"
"2316","12","17","24702"
"2317","49","39","41743"
"2318","65","63","61993"
"2319","18","16","19582"
"2320","16","19","18969"
"2321","84","69","79767"
"2322","71","56","63353"
"2323","24","27","39111"
"2324","71","64","65301"
"2325",".",".","."
"2326","27","27","28790"
"2327","38","55","65774"
"2328","66","80","86148"
"2329","58","68","69687"
"2330","47","53","67104"
"2331","99","99","97755"
"2332","65","75","71851"
"2333","53","53","53448"
"2334","35","29","29171"
"2335","91","74","69564"
"2336","94","92","77766"
"2337","80","69","74637"
"2338","75","77","78315"
"2339","97","98","98849"
"2340","16","20","29691"
"2341","85","77","78245"
"2342","40","37","45976"
"2343","49","54","51182"
"2344","11","13","9970"
"2345","27","32","41932"
"2346","76","87","90075"
"2347","30","19","30014"
"2348","2","4","2093"
"2349","3","6","4375"
"2350","47","37","44263"
"2351","24","21","29414"
"2352","6","1","10375"
"2353","18","12","16861"
"2354","11","12","12891"
"2355","2","5","7025"
"2356","8","6","9737"
"2357","30","29","28150"
"2358","2","3","1655"
"2359","18","13","7500"
"2360","44","37","43070"
"2361","4","2","3283"
"2362","29","21","23533"
"2363","3","9","9471"
"2364","6","5","2055"
"2365","22","27","42207"
"2366","39","42","44471"
"2367","72","68","71637"
"2368","38","41","28700"
"2369","62","65","49737"
"2370","65","63","58737"
"2371","60","75","73239"
"2372","84","85","93923"
"2373","95","93","93056"
"2374",".",".","."
"2375","62","49","55494"
"2376","59","63","71019"
"2377","21","18","20582"
"2378","48","46","59534"
"2379","50","54","54611"
"2380","75","67","73886"
"2381","40","42","47888"
"2382","32","32","44078"
"2383","45","35","45054"
"2384","32","29","32469"
"2385","75","74","65800"
"2386","65","62","57650"
"2387","16","13","15697"
"2388","45","40","42370"
"2389","17","19","19282"
"2390",".",".","."
"2391","38","38","30723"
"2392","19","21","17534"
"2393","52","41","49268"
"2394","93","67","75648"
"2395","5","6","2857"
"2396","7","7","6227"
"2397","13","6","4622"
"2398","20","23","24581"
"2399","23","24","22029"
"2400","66","79","83187"
"2401","42","35","26892"
"2402","58","58","55438"
"2403","7","4","9333"
"2404","49","47","34726"
"2405","8","9","5543"
"2406","3","4","6249"
"2407","42","37","42294"
"2408","26","29","19348"
"2409","45","48","52806"
"2410","28","31","41414"
"2411","43","44","46715"
"2412","18","21","35114"
"2413","20","25","14248"
"2414","18","17","20904"
"2415","91","86","87508"
"2416","35","25","23714"
"2417","33","26","23088"
"2418","43","35","34796"
"2419","11","13","24569"
"2420","24","25","32849"
"2421","34","43","37456"
"2422","52","66","69107"
"2423","43","42","40135"
"2424","60","59","76175"
"2425","9","6","7627"
"2426","31","23","32946"
"2427","32","34","47464"
"2428","99","97","96956"
"2429","92","93","90785"
"2430","2","3","2515"
"2431","42","37","42202"
"2432","70","77","75425"
"2433","56","74","78543"
"2434","83","63","62347"
"2435","90","85","89248"
"2436","36","32","44875"
"2437","70","74","79569"
"2438","83","89","88511"
"2439","64","66","68273"
"2440","49","49","58833"
"2441","19","27","42222"
"2442","55","55","45630"
"2443","42","43","56491"
"2444","44","46","55573"
"2445","65","63","56489"
"2446","2","2","3106"
"2447","53","55","48144"
"2448","60","51","66195"
"2449","13","12","15845"
"2450","36","38","39399"
"2451","77","67","57518"
"2452","37","38","41091"
"2453","56","70","82254"
"2454","26","24","37211"
"2455","38","32","35708"
"2456","23","21","28404"
"2457","7","4","5055"
"2458","33","32","27175"
"2459","23","23","26828"
"2460","42","45","38338"
"2461","43","49","62172"
"2462","34","32","32803"
"2463","99","98","94463"
"2464","94","87","84734"
"2465","99","95","95560"
"2466","18","14","19489"
"2467","62","49","58711"
"2468","86","87","90937"
"2469","31","35","34414"
"2470","59","59","67455"
"2471","14","16","38305"
"2472",".",".","."
"2473","80","86","97301"
"2474","87","89","84254"
"2475","69","65","74784"
"2476","9","7","8430"
"2477","53","59","75661"
"2478","56","46","37129"
"2479","53","61","69480"
"2480","49","59","75990"
"2481","18","19","20238"
"2482","18","25","25665"
"2483","30","27","21622"
"2484","54","49","61373"
"2485","27","21","25739"
"2486","26","22","28136"
"2487","16","21","22216"
"2488","17","18","16414"
"2489","70","72","57850"
"2490","63","59","52356"
"2491","62","64","64709"
"2492","28","27","38249"
"2493","69","58","71804"
"2494","89","82","79940"
"2495","21","24","13558"
"2496","33","35","33651"
"2497","69","68","81228"
"2498","35","41","39968"
"2499",".",".","."
"2500","34","27","34544"
"2501","44","36","28235"
"2502","91","90","88459"
"2503","57","62","72816"
"2504","51","68","58556"
"2505","64","57","64202"
"2506","72","53","55130"
"2507","30","25","16574"
"2508","99","96","94069"
"2509","85","86","84042"
"2510","68","77","80410"
"2511","87","81","78703"
"2512","35","39","42884"
"2513","14","15","32682"
"2514","87","78","73711"
"2515","76","65","76886"
"2516","59","64","66867"
"2517","81","63","76005"
"2518","74","76","81543"
"2519","51","66","66996"
"2520","72","88","89746"
"2521","17","13","11934"
"2522","62","54","50210"
"2523","84","91","90558"
"2524",".",".","."
"2525","29","35","39571"
"2526","45","47","58333"
"2527","12","8","9203"
"2528","14","9","13091"
"2529","24","19","28439"
"2530","18","13","18716"
"2531","72","79","70955"
"2532","82","77","85019"
"2533","66","70","81045"
"2534","94","90","83061"
"2535","27","27","24830"
"2536","21","27","30397"
"2537","38","38","35987"
"2538","10","4","3243"
"2539","38","29","29224"
"2540","30","27","30170"
"2541","84","99","98399"
"2542","69","52","62877"
"2543","46","45","35478"
"2544","50","42","38630"
"2545","68","73","75455"
"2546","21","18","23330"
"2547","26","29","42818"
"2548","13","7","8222"
"2549","96","97","92726"
"2550","60","74","65344"
"2551","98","99","99523"
"2552","80","80","86171"
"2553","69","71","72096"
"2554","19","27","39097"
"2555","46","49","40858"
"2556","77","69","70610"
"2557","91","86","93207"
"2558","71","75","74219"
"2559","56","57","71891"
"2560",".",".","."
"2561","5","2","5152"
"2562","86","78","86851"
"2563","67","71","83187"
"2564","54","44","30568"
"2565","99","97","97161"
"2566","72","65","74666"
"2567","89","88","95597"
"2568","93","90","76751"
"2569","93","88","88401"
"2570","79","75","75897"
"2571","79","79","90805"
"2572","57","66","66774"
"2573","93","80","82981"
"2574","30","40","37594"
"2575","36","36","31152"
"2576","73","81","79804"
"2577","30","22","27254"
"2578","12","13","7222"
"2579","84","95","98327"
"2580","59","64","64668"
"2581","42","42","42748"
"2582","10","12","20223"
"2583","35","37","52606"
"2584","5","6","10007"
"2585","50","50","51366"
"2586","42","43","42596"
"2587","4","5","6212"
"2588","98","99","97318"
"2589","91","91","94663"
"2590","87","85","87121"
"2591","63","66","66724"
"2592","49","39","43541"
"2593","5","4","3178"
"2594","42","40","34866"
"2595","17","16","19489"
"2596","13","13","15430"
"2597","33","36","50916"
"2598","6","8","17817"
"2599","8","13","12767"
"2600","93","86","91908"
"2601",".",".","."
"2602","64","55","73986"
"2603","68","75","86396"
"2604","45","64","74370"
"2605","23","19","15538"
"2606","83","81","78782"
"2607","97","88","90608"
"2608","94","92","97809"
"2609",".",".","."
"2610","84","82","81963"
"2611","64","69","71378"
"2612","22","26","29620"
"2613","82","79","75030"
"2614","18","20","23741"
"2615","56","67","76118"
"2616","85","71","56648"
"2617","5","3","2497"
"2618",".",".","."
"2619","56","64","52931"
"2620","67","70","67777"
"2621",".",".","."
"2622","73","80","93856"
"2623","20","25","25070"
"2624","99","99","95078"
"2625","48","58","60770"
"2626","74","67","63940"
"2627","36","33","44006"
"2628","88","82","77623"
"2629","53","53","58878"
"2630","59","66","74682"
"2631","79","67","69118"
"2632","38","35","47268"
"2633","99","99","99581"
"2634","63","53","52493"
"2635","47","52","32062"
"2636","57","56","58714"
"2637","97","93","91219"
"2638","38","47","61133"
"2639","27","19","20581"
"2640","48","38","41277"
"2641",".",".","."
"2642","84","87","94600"
"2643","38","42","43783"
"2644","31","26","36729"
"2645","11","8","8642"
"2646","79","70","74779"
"2647","54","55","47616"
"2648","38","45","46315"
"2649","84","99","98587"
"2650","66","57","57532"
"2651","23","35","44873"
"2652","30","27","53648"
"2653","3","4","4107"
"2654","14","17","17893"
"2655","8","8","7355"
"2656","22","24","24110"
"2657","16","13","9052"
"2658","4","5","4014"
"2659","8","5","13369"
"2660","15","9","5171"
"2661","9","10","7370"
"2662","27","32","32449"
"2663","11","6","5128"
"2664","3","8","5795"
"2665","19","22","21392"
"2666","4","3","1722"
"2667","1","1","810"
"2668","38","32","25561"
"2669","13","10","8169"
"2670","27","26","30126"
"2671","18","15","14123"
"2672","22","21","13722"
"2673","2","3","3536"
"2674",".",".","."
"2675","8","9","16569"
"2676","6","4","2640"
"2677","28","31","30421"
"2678","73","63","62384"
"2679","48","44","50680"
"2680","79","75","81414"
"2681","3","5","5686"
"2682","7","3","5464"
"2683","5","5","1949"
"2684","86","84","78514"
"2685","96","93","87232"
"2686","92","91","96006"
"2687","35","33","34539"
"2688","67","78","74478"
"2689","42","31","38206"
"2690","29","26","34223"
"2691","16","13","25784"
"2692","13","13","13303"
"2693","15","8","11426"
"2694","66","59","57714"
"2695","52","58","63262"
"2696","35","32","47892"
"2697","47","37","50180"
"2698","1","3","2090"
"2699","7","7","7961"
"2700","2","2","2758"
"2701","28","29","25652"
"2702","77","81","73187"
"2703","49","57","56056"
"2704","40","39","43536"
"2705","7","2","1930"
"2706","10","16","22776"
"2707","6","8","12320"
"2708","14","14","13404"
"2709","24","27","34134"
"2710","7","7","6748"
"2711","50","34","31136"
"2712","23","21","18852"
"2713","13","13","17630"
"2714","89","92","90519"
"2715","85","86","95099"
"2716","10","8","10747"
"2717","9","9","10936"
"2718","16","16","14082"
"2719","6","6","8366"
"2720","1","3","1872"
"2721","2","2","3167"
"2722","21","19","17373"
"2723","26","32","34081"
"2724","87","77","79723"
"2725","80","90","92116"
"2726","53","45","48378"
"2727","56","56","67905"
"2728","46","53","59815"
"2729","59","53","52886"
"2730","14","22","19730"
"2731","38","48","56612"
"2732","32","42","55890"
"2733","9","9","3877"
"2734","28","25","18418"
"2735","14","13","13939"
"2736","58","53","62998"
"2737","74","76","76513"
"2738","53","58","46571"
"2739","87","79","82385"
"2740","42","47","67494"
"2741","63","59","50562"
"2742","83","63","66725"
"2743","20","22","19217"
"2744","32","43","37729"
"2745","72","63","52010"
"2746","32","30","31161"
"2747","11","15","13768"
"2748","4","8","8081"
"2749","36","39","30562"
"2750","23","17","18880"
"2751","32","25","17588"
"2752",".",".","."
"2753","32","32","27325"
"2754","32","41","52618"
"2755","53","59","73536"
"2756","75","71","75140"
"2757","8","8","4216"
"2758","8","8","8653"
"2759",".",".","643"
"2760","30","36","51839"
"2761","8","9","16131"
"2762","6","9","16944"
"2763","6","8","10405"
"2764","3","10","12958"
"2765","45","40","46116"
"2766","73","66","71977"
"2767","8","8","8889"
"2768","10","11","14687"
"2769","2","4","7241"
"2770","49","59","62129"
"2771","32","29","30365"
"2772","16","13","16598"
"2773","27","33","31630"
"2774","87","85","68644"
"2775","78","71","76999"
"2776","65","80","84667"
"2777","14","14","16675"
"2778","5","6","6881"
"2779","15","12","17442"
"2780","2","3","10370"
"2781","63","54","56208"
"2782",".",".","116"
"2783","35","43","47692"
"2784","9","12","15110"
"2785","42","35","37739"
"2786","1","1","711"
"2787","70","74","82075"
"2788","12","9","7228"
"2789","31","25","20296"
"2790",".",".","."
"2791","15","16","23558"
"2792","5","2","4728"
"2793","3","5","8780"
"2794","4","5","5211"
"2795","3","1","4002"
"2796","8","8","8310"
"2797","3","5","4598"
"2798","1","4","9809"
"2799","3","6","4999"
"2800","89","98","98512"
"2801","83","84","90597"
"2802","56","55","65610"
"2803","23","20","18985"
"2804","26","23","32049"
"2805","13","13","14953"
"2806","64","69","72700"
"2807","12","18","17576"
"2808","17","20","27856"
"2809","87","85","86026"
"2810","48","43","49671"
"2811","22","19","24308"
"2812","16","13","14151"
"2813","80","89","86520"
"2814","79","76","71795"
"2815","38","37","53908"
"2816","18","16","13683"
"2817","6","6","8253"
"2818","60","63","72322"
"2819","8","7","3957"
"2820","20","19","28290"
"2821","79","86","79618"
"2822","1","1","74"
"2823","76","66","62369"
"2824","28","32","45396"
"2825","22","24","36159"
"2826","50","47","44484"
"2827",".",".","."
"2828","23","18","18908"
"2829","8","5","4517"
"2830","56","55","72247"
"2831","42","45","47539"
"2832","46","38","47307"
"2833","75","80","69924"
"2834","72","65","63797"
"2835","38","41","33755"
"2836","49","59","44916"
"2837","23","26","31514"
"2838","94","94","95237"
"2839","82","85","73761"
"2840","75","85","95131"
"2841","99","97","96898"
"2842","82","80","87040"
"2843","56","50","60087"
"2844","97","98","97184"
"2845","99","99","100000"
"2846","99","99","98767"
"2847","99","98","99445"
"2848","91","97","97137"
"2849","86","94","91680"
"2850","98","99","98492"
"2851","93","96","96763"
"2852","30","42","33730"
"2853","80","84","84289"
"2854","52","68","71491"
"2855","34","42","58761"
"2856","76","61","56854"
"2857","42","29","32422"
"2858","71","80","84767"
"2859","86","95","90096"
"2860","67","78","84780"
"2861","99","99","97983"
"2862","50","49","58954"
"2863","32","35","41306"
"2864","32","35","32795"
"2865","14","15","14338"
"2866","57","50","57774"
"2867","20","25","27951"
"2868","57","59","56211"
"2869","81","72","61979"
"2870","79","78","74671"
"2871","44","46","56887"
"2872","83","95","92257"
"2873","96","99","99157"
"2874","2","4","7718"
"2875","95","88","86469"
"2876",".",".","."
"2877","95","84","84187"
"2878",".",".","6566"
"2879","25","27","27641"
"2880","48","39","42864"
"2881","34","30","40672"
"2882","13","17","18286"
"2883","84","78","78966"
"2884","30","34","42648"
"2885","55","42","33954"
"2886","64","67","67886"
"2887","69","55","42708"
"2888","41","46","55411"
"2889","54","61","69302"
"2890","49","45","57082"
"2891","26","25","14598"
"2892","93","93","96653"
"2893","99","99","99256"
"2894","84","91","94588"
"2895","44","48","81941"
"2896","82","92","85579"
"2897",".",".","."
"2898","96","99","99368"
"2899","49","51","62044"
"2900","99","97","98481"
"2901","95","95","98230"
"2902","99","98","98731"
"2903","91","91","90931"
"2904","93","89","83613"
"2905","79","87","82751"
"2906","87","86","84155"
"2907","74","85","82820"
"2908","91","91","91836"
"2909","90","95","96535"
"2910","77","82","93168"
"2911","6","4","4106"
"2912","25","29","36386"
"2913","10","11","12978"
"2914","8","10","9607"
"2915","99","99","99370"
"2916","79","78","84349"
"2917","22","36","36294"
"2918","64","48","53239"
"2919","13","15","18256"
"2920","42","50","52232"
"2921","27","32","39227"
"2922","29","39","48526"
"2923","53","54","57962"
"2924","40","49","57653"
"2925","98","99","98916"
"2926","91","90","93305"
"2927","90","81","88659"
"2928","94","93","96193"
"2929","92","79","84197"
"2930","64","58","70097"
"2931",".",".","."
"2932","10","4","1110"
"2933",".",".","3573"
"2934","7","9","18123"
"2935",".",".","."
"2936","47","70","70882"
"2937","55","64","61074"
"2938","33","35","36114"
"2939","91","97","98472"
"2940",".",".","."
"2941","92","91","92533"
"2942","11","13","18324"
"2943","82","82","93766"
"2944","50","49","64365"
"2945","51","61","70940"
"2946","74","78","85937"
"2947","81","80","73810"
"2948","87","78","79666"
"2949","64","64","52547"
"2950","62","74","81036"
"2951","17","22","19438"
"2952","46","40","54754"
"2953","30","39","33606"
"2954","4","1","2451"
"2955","93","89","89238"
"2956","54","55","70358"
"2957","72","79","80160"
"2958","60","80","90655"
"2959","65","68","77435"
"2960","1","2","6594"
"2961","66","74","78001"
"2962","46","67","59686"
"2963","57","68","78539"
"2964","65","54","60684"
"2965",".",".","."
"2966","3","1","869"
"2967","13","14","36830"
"2968","6","9","30614"
"2969","12","18","19370"
"2970","2","2","2926"
"2971","1","1","2081"
"2972","51","43","41856"
"2973","39","29","37194"
"2974","15","21","31213"
"2975","71","92","95172"
"2976","52","57","68200"
"2977","24","29","40065"
"2978","52","44","36622"
"2979","45","39","46418"
"2980","99","99","98312"
"2981","37","46","53000"
"2982","87","82","90188"
"2983","20","10","18111"
"2984","99","97","96417"
"2985","89","81","90461"
"2986","76","80","70202"
"2987","99","99","100000"
"2988","87","79","78044"
"2989","98","96","99192"
"2990","57","67","74992"
"2991","52","54","60487"
"2992",".",".","."
"2993",".",".","."
"2994","76","62","64927"
"2995","31","37","28057"
"2996","77","77","68855"
"2997","73","70","56956"
"2998","49","73","65906"
"2999","79","73","63020"
"3000","30","24","27564"
"3001","65","69","83613"
"3002","4","4","5944"
"3003","38","53","65670"
"3004",".",".","."
"3005","46","47","53987"
"3006","50","59","51747"
"3007","28","38","50597"
"3008","20","29","22280"
"3009","8","12","10289"
"3010","16","25","21722"
"3011","87","80","86942"
"3012","63","62","50059"
"3013","30","28","42897"
"3014","9","9","6411"
"3015","65","58","57016"
"3016","89","84","79756"
"3017","96","93","91558"
"3018","72","63","78261"
"3019","56","53","63843"
"3020","35","39","47078"
"3021","21","25","20071"
"3022","65","65","54075"
"3023","41","35","35837"
"3024","14","23","27309"
"3025","97","95","94201"
"3026","49","43","46776"
"3027",".",".","."
"3028","88","81","81959"
"3029",".",".","."
"3030","7","9","9639"
"3031","35","41","40819"
"3032","3","3","3403"
"3033","87","81","75947"
"3034","49","62","43680"
"3035","46","70","71321"
"3036","90","80","84533"
"3037","78","73","72993"
"3038",".",".","."
"3039","76","69","71201"
"3040","40","36","45475"
"3041","99","90","92464"
"3042","41","42","48152"
"3043","47","55","71492"
"3044",".",".","."
"3045",".",".","."
"3046","16","12","13119"
"3047","45","35","35153"
"3048","46","42","52489"
"3049","11","15","16244"
"3050","8","8","3838"
"3051","32","34","42040"
"3052","74","67","53278"
"3053","82","79","76213"
"3054","31","34","29399"
"3055","14","15","18999"
"3056","80","94","95032"
"3057","26","25","19496"
"3058","53","46","49827"
"3059","22","21","15551"
"3060","22","18","17174"
"3061","64","67","49223"
"3062","94","95","82256"
"3063",".",".","."
"3064","42","32","26227"
"3065","6","12","10181"
"3066","46","56","43898"
"3067",".",".","."
"3068","41","42","36196"
"3069","30","22","21782"
"3070","3","6","1299"
"3071","4","5","2840"
"3072","11","17","19121"
"3073","19","12","8799"
"3074","1","1","336"
"3075","12","11","4881"
"3076","30","32","41502"
"3077","30","19","16973"
"3078","44","50","50564"
"3079","72","68","55687"
"3080","30","24","22789"
"3081","55","54","63437"
"3082","30","35","58906"
"3083","44","52","45819"
"3084","93","89","89903"
"3085","80","84","87496"
"3086","84","84","95692"
"3087",".",".","."
"3088",".",".","."
"3089","93","97","93403"
"3090","65","72","73371"
"3091","39","27","39958"
"3092",".",".","."
"3093","18","17","18165"
"3094","20","22","14147"
"3095","45","41","42733"
"3096","74","61","53650"
"3097","39","30","34227"
"3098","86","79","79047"
"3099","57","49","57237"
"3100","29","35","27065"
"3101","54","49","59484"
"3102","94","96","97618"
"3103","2","1","953"
"3104","6","7","24392"
"3105","52","49","67298"
"3106","72","78","85394"
"3107","34","48","65348"
"3108","42","42","46813"
"3109","97","99","98588"
"3110","87","91","90778"
"3111","89","73","80097"
"3112","46","42","44232"
"3113","45","40","40008"
"3114","18","22","23306"
"3115","89","76","83625"
"3116","65","67","63440"
"3117","55","59","64261"
"3118","26","25","35994"
"3119","10","7","4175"
"3120","30","27","34968"
"3121","77","58","68011"
"3122","85","74","86910"
"3123","80","87","90601"
"3124","65","76","83367"
"3125","16","17","24481"
"3126","64","72","73387"
"3127","12","15","16094"
"3128","49","57","57010"
"3129","35","32","36672"
"3130","95","92","93498"
"3131","79","81","74542"
"3132","93","94","93545"
"3133","86","95","93686"
"3134","30","29","21288"
"3135","36","36","45188"
"3136",".",".","."
"3137","89","86","85855"
"3138","42","43","37729"
"3139","68","77","89196"
"3140","57","53","52478"
"3141","99","89","94082"
"3142","87","99","100000"
"3143","45","53","50223"
"3144","14","14","6432"
"3145","85","81","80710"
"3146","59","67","74184"
"3147","94","91","81524"
"3148","8","4","4382"
"3149","37","32","38949"
"3150","92","94","85289"
"3151","39","34","39186"
"3152","79","80","81144"
"3153","68","73","79758"
"3154","98","93","87711"
"3155","21","22","29317"
"3156","83","76","78547"
"3157","33","46","56562"
"3158","81","85","83152"
"3159","81","65","69350"
"3160",".",".","."
"3161","30","35","49448"
"3162","94","91","95012"
"3163","39","38","35413"
"3164","12","17","15220"
"3165","34","35","40180"
"3166","95","99","99463"
"3167","99","99","100000"
"3168","91","98","90399"
"3169","94","96","91471"
"3170","99","99","98699"
"3171","92","99","96789"
"3172","99","99","97598"
"3173","99","98","96915"
"3174",".",".","."
"3175","17","19","22578"
"3176","49","54","60884"
"3177","15","13","15835"
"3178","20","21","25222"
"3179","60","69","76903"
"3180","98","94","92801"
"3181","98","99","96586"
"3182","98","99","99923"
"3183","87","87","81120"
"3184","70","71","86549"
"3185","62","70","83977"
