C0000100,C0000200,HtSt,HtSt19to25,WtSt,WtSt19to25
623101,6231,0.546186866,1.522461674,0.264493765,0.731700801
623102,6231,0.875875114,0.542276012,2.569097277,2.30838978
623202,6232,0.546186866,0.542276012,-0.705865608,-0.644773706
623302,6233,-0.11318963,-0.111181095,0.143198843,-0.144237522
623303,6233,0.546186866,0.542276012,-0.948455452,-0.895041798
623401,6234,-0.772566125,-1.418095311,-0.220685922,0.306245044
623403,6234,-0.772566125,-1.091366757,-0.948455452,-0.895041798
623501,6235,-0.11318963,-0.437909649,-0.584570687,-0.644773706
623901,6239,1.205563361,1.19573312,1.234853138,1.357371031
625501,6255,-0.442877878,-0.437909649,-0.099391,-0.394505614
625502,6255,0.875875114,0.869004566,-0.050873031,0.030950143
625801,6258,0.546186866,0.542276012,-0.536052718,-0.469586041
625802,6258,-0.442877878,1.19573312,0.507083608,-0.895041798
625901,6259,-1.431942621,-1.418095311,0.094680875,-0.344451995
626201,6262,-1.102254373,-1.091366757,-0.584570687,-0.51963966
626301,6263,-0.442877878,-0.111181095,-0.220685922,-0.144237522
626501,6265,0.216498618,0.215547459,0.555601577,0.656620373
626802,6268,0.216498618,0.215547459,-1.069750373,-1.395577982
627401,6274,-1.102254373,-1.091366757,2.350766418,2.508604254
627402,6274,-1.102254373,-1.091366757,1.477442982,1.607639123
627802,6278,-1.761630869,-1.744823865,-1.191045295,-1.14530989
628001,6280,-0.772566125,,0.021903922,
628003,6280,-0.442877878,,0.143198843,
628205,6282,-0.11318963,-0.111181095,0.143198843,0.231164616
628901,6289,-1.102254373,-1.091366757,-1.457894123,-1.420604791
629102,6291,0.875875114,0.869004566,0.021903922,-0.019103476
629303,6293,2.194628105,2.175918782,0.264493765,0.356298662
629401,6294,0.216498618,-0.111181095,1.671514856,1.357371031
629402,6294,0.216498618,0.215547459,1.234853138,1.107102939
629403,6294,-1.102254373,-1.091366757,-0.99697342,-0.945095416
629601,6296,0.546186866,1.19573312,2.81168712,2.108175307
629603,6296,0.216498618,0.215547459,0.021903922,0.10603057
629703,6297,-0.11318963,-0.111181095,0.143198843,0.231164616
629704,6297,-2.421007364,-2.398280972,2.690392198,2.858979583
629901,6299,-0.772566125,-0.764638203,1.962622668,2.108175307
631001,6310,-1.431942621,-1.744823865,0.62837853,-0.144237522
631002,6310,-0.442877878,-1.091366757,-0.754383577,-1.14530989
631005,6310,-1.431942621,-1.418095311,0.361529702,0.406352281
631301,6313,0.546186866,0.869004566,1.35614806,-0.19429114
631501,6315,-2.421007364,-2.398280972,-1.312340217,-1.395577982
631503,6315,1.205563361,1.19573312,-0.317721859,-0.49461285
631802,6318,1.864939857,1.849190228,0.143198843,0.231164616
632001,6320,-2.421007364,-2.398280972,-1.069750373,-1.020175844
632202,6322,1.205563361,1.19573312,0.749673452,0.606566755
632705,6327,1.205563361,1.19573312,-0.099391,-0.019103476
632706,6327,0.216498618,0.215547459,-0.220685922,-0.144237522
633401,6334,-1.102254373,-1.091366757,-0.463275765,-0.394505614
633501,6335,0.216498618,0.215547459,-0.948455452,-0.895041798
633502,6335,1.205563361,1.19573312,1.113558217,1.232236985
633601,6336,-1.431942621,-1.418095311,-1.433635138,-1.395577982
633701,6337,-1.102254373,-1.091366757,2.447802355,1.482505077
634202,6342,0.875875114,0.869004566,1.501701966,1.632665932
634402,6344,-1.431942621,-1.418095311,0.215975796,0.281218235
634403,6344,0.216498618,0.215547459,1.35614806,1.482505077
634501,6345,1.864939857,1.849190228,0.264493765,0.856834847
634502,6345,0.546186866,0.869004566,-0.463275765,-0.144237522
635301,6353,-2.750695612,-1.744823865,-0.584570687,-0.895041798
636302,6363,0.216498618,0.215547459,0.749673452,0.731700801
636303,6363,0.546186866,0.215547459,-0.220685922,-1.020175844
636401,6364,1.535251609,1.522461674,-0.002355063,0.081003761
636402,6364,0.875875114,0.869004566,-0.099391,-0.019103476
636501,6365,1.205563361,1.19573312,-0.220685922,-0.144237522
636502,6365,-0.11318963,-0.111181095,-1.118268342,-1.070229462
636503,6365,1.205563361,1.19573312,0.749673452,0.856834847
636601,6366,-0.11318963,-0.111181095,0.143198843,0.231164616
636802,6368,-0.11318963,-0.111181095,-0.536052718,-0.469586041
636901,6369,1.205563361,1.19573312,-0.220685922,-0.394505614
637101,6371,0.216498618,0.215547459,-1.069750373,-1.14530989
637201,6372,0.216498618,0.215547459,-0.147908969,-0.069157094
637502,6375,-1.102254373,-0.437909649,-1.069750373,-1.070229462
637701,6377,1.535251609,1.522461674,-0.948455452,-0.895041798
638001,6380,-0.772566125,-0.764638203,-1.118268342,-1.070229462
638201,6382,1.864939857,2.175918782,1.550219935,0.981968893
638202,6382,1.535251609,1.522461674,-0.463275765,-0.394505614
638301,6383,-0.442877878,-0.437909649,-0.948455452,-0.019103476
638302,6383,0.546186866,0.542276012,-0.099391,-0.019103476
638701,6387,-0.442877878,-0.437909649,-0.584570687,-1.14530989
638902,6389,1.864939857,1.849190228,2.447802355,2.358443399
639301,6393,-0.442877878,-0.437909649,0.021903922,0.10603057
639302,6393,-0.442877878,-0.437909649,-0.948455452,-0.895041798
639401,6394,0.546186866,0.542276012,1.210594154,0.481432708
639403,6394,0.216498618,0.215547459,-0.050873031,0.030950143
639404,6394,1.205563361,1.19573312,-0.82716053,-0.769907752
639602,6396,-0.772566125,-0.764638203,-1.191045295,-1.14530989
640002,6400,-0.442877878,-0.437909649,-0.220685922,-0.019103476
640501,6405,1.205563361,1.19573312,0.385788687,0.481432708
640701,6407,-0.772566125,-0.437909649,1.113558217,0.806781228
641001,6410,-0.442877878,-1.418095311,0.507083608,0.606566755
641301,6413,-1.102254373,-1.091366757,0.507083608,0.506459518
641403,6414,-2.421007364,-2.398280972,-1.55493006,-1.520712028
641602,6416,2.194628105,2.175918782,4.631110945,3.860051951
642601,6426,2.194628105,1.522461674,0.749673452,0.606566755
642602,6426,-0.442877878,-0.437909649,1.210594154,1.332344221
642702,6427,-2.091319117,-2.071552418,-0.875678499,-0.81996137
642801,6428,-0.442877878,-0.437909649,0.749673452,0.856834847
642902,6429,-1.431942621,-1.418095311,-0.705865608,-0.644773706
642903,6429,-1.102254373,-1.091366757,-0.948455452,-0.895041798
643401,6434,-1.431942621,-1.418095311,-0.948455452,-1.270443936
643402,6434,-1.102254373,-1.091366757,-0.948455452,-0.895041798
644201,6442,0.546186866,0.542276012,0.992263295,1.107102939
644202,6442,-0.442877878,-0.437909649,1.040781264,1.157156557
644502,6445,0.216498618,0.215547459,2.08391759,2.233309353
644503,6445,-1.102254373,-1.091366757,-0.536052718,-0.469586041
644804,6448,-1.431942621,-1.418095311,-1.191045295,-1.14530989
644805,6448,0.546186866,0.542276012,-1.191045295,-1.14530989
645001,6450,0.216498618,0.215547459,3.418161728,4.911177937
645502,6455,0.216498618,0.215547459,0.264493765,0.356298662
645701,6457,-0.442877878,-0.437909649,-1.312340217,-1.270443936
647202,6472,0.216498618,0.215547459,-0.341980843,-0.269371568
648101,6481,0.216498618,0.215547459,-1.191045295,-1.14530989
648201,6482,0.875875114,0.542276012,3.903341415,3.609783859
648202,6482,0.875875114,0.869004566,0.749673452,1.082076129
648204,6482,-1.102254373,-1.091366757,-0.972714436,-0.920068607
648501,6485,0.216498618,0.215547459,-0.705865608,-0.644773706
648602,6486,0.875875114,0.869004566,-0.220685922,-0.144237522
651302,6513,0.875875114,0.869004566,-0.220685922,-0.144237522
651604,6516,-0.772566125,-0.764638203,-0.802901546,-0.744880942
651605,6516,0.216498618,0.215547459,-0.705865608,-0.644773706
655501,6555,1.864939857,1.849190228,1.841327747,1.983041261
657501,6575,1.864939857,1.849190228,-0.584570687,-0.394505614
658702,6587,-1.431942621,-1.418095311,-1.191045295,-1.14530989
