"SubjectTag","SubjectID","Generation","HeightZGenderAge","WeightZGenderAge","AfqtRescaled2006Gaussified","Afi","Afm","MathStandardized"
745801,745801,2,NA,NA,NA,NA,NA,NA
745901,745901,2,1.220005,1.220005,NA,NA,NA,85
745902,745902,2,-0.5672377,-0.5672377,NA,NA,NA,89
745903,745903,2,0.3425784,0.3425784,NA,NA,NA,94
745904,745904,2,NA,NA,NA,NA,NA,103
746001,746001,2,NA,NA,NA,NA,NA,NA
746002,746002,2,NA,NA,NA,NA,NA,NA
746003,746003,2,NA,NA,NA,NA,NA,NA
746004,746004,2,NA,NA,NA,NA,NA,NA
746201,746201,2,NA,NA,NA,NA,NA,96
746202,746202,2,-0.5083604,-0.5083604,NA,NA,NA,95.5
746203,746203,2,0.2203609,0.2203609,NA,NA,NA,99
746401,746401,2,-0.6922057,-0.6922057,NA,NA,NA,93
746402,746402,2,-0.8292106,-0.8292106,NA,NA,NA,108
746403,746403,2,0.5238913,0.5238913,NA,NA,NA,91.5
746404,746404,2,-0.5756847,-0.5756847,NA,NA,NA,97
746801,746801,2,NA,NA,NA,NA,NA,69
746802,746802,2,NA,NA,NA,NA,NA,97
746803,746803,2,NA,NA,NA,NA,NA,NA
747001,747001,2,-1.300147,-1.300147,NA,NA,NA,93
747002,747002,2,-1.21185,-1.21185,NA,NA,NA,84
747003,747003,2,-0.4958281,-0.4958281,NA,NA,NA,95
747004,747004,2,2.18977,2.18977,NA,NA,NA,109
747501,747501,2,-1.145408,-1.145408,NA,NA,NA,98
747502,747502,2,NA,NA,NA,NA,NA,120.5
747701,747701,2,-0.7735139,-0.7735139,NA,NA,NA,NA
747702,747702,2,NA,NA,NA,NA,NA,100
747901,747901,2,0.1482718,0.1482718,NA,NA,NA,86
747902,747902,2,-0.159374,-0.159374,NA,NA,NA,102
748001,748001,2,-0.1800443,-0.1800443,NA,NA,NA,89
748002,748002,2,0.888699,0.888699,NA,NA,NA,89
748003,748003,2,0.2203609,0.2203609,NA,NA,NA,99
748101,748101,2,NA,NA,NA,NA,NA,100.5
748102,748102,2,NA,NA,NA,NA,NA,NA
748501,748501,2,0.5043196,0.5043196,NA,NA,NA,102.5
748502,748502,2,0.8415136,0.8415136,NA,NA,NA,107
749001,749001,2,NA,NA,NA,NA,NA,NA
749201,749201,2,-0.5705317,-0.5705317,NA,NA,NA,95
749301,749301,2,2.504615,2.504615,NA,NA,NA,101.5
749302,749302,2,-1.300147,-1.300147,NA,NA,NA,82.5
749303,749303,2,0.8377021,0.8377021,NA,NA,NA,101
749401,749401,2,-0.2057241,-0.2057241,NA,NA,NA,101
749402,749402,2,-1.68929,-1.68929,NA,NA,NA,89
749403,749403,2,-0.9234515,-0.9234515,NA,NA,NA,99.5
749601,749601,2,-0.1800443,-0.1800443,NA,NA,NA,102
749602,749602,2,-2.029762,-2.029762,NA,NA,NA,110
749603,749603,2,0.5238913,0.5238913,NA,NA,NA,99
749701,749701,2,-0.8026838,-0.8026838,NA,NA,NA,98
749702,749702,2,-0.5296955,-0.5296955,NA,NA,NA,104
749801,749801,2,-1.68929,-1.68929,NA,NA,NA,103
749802,749802,2,NA,NA,NA,NA,NA,115
749803,749803,2,NA,NA,NA,NA,NA,97.5
750001,750001,2,-0.7195252,-0.7195252,NA,NA,NA,101
750002,750002,2,1.169933,1.169933,NA,NA,NA,90.5
750101,750101,2,-1.366035,-1.366035,NA,NA,NA,110
750102,750102,2,-1.789202,-1.789202,NA,NA,NA,98
750103,750103,2,-1.162593,-1.162593,NA,NA,NA,79.5
750104,750104,2,0.1516985,0.1516985,NA,NA,NA,83
750105,750105,2,-0.2118254,-0.2118254,NA,NA,NA,100
750301,750301,2,0.804904,0.804904,NA,NA,NA,89
750302,750302,2,2.489018,2.489018,NA,NA,NA,82
750303,750303,2,1.499669,1.499669,NA,NA,NA,100
750304,750304,2,2.350928,2.350928,NA,NA,NA,94.5
750305,750305,2,NA,NA,NA,NA,NA,NA
750401,750401,2,-0.3962702,-0.3962702,NA,NA,NA,97
750402,750402,2,-0.2118254,-0.2118254,NA,NA,NA,93
750403,750403,2,-1.275893,-1.275893,NA,NA,NA,74
750404,750404,2,NA,NA,NA,NA,NA,94
750405,750405,2,NA,NA,NA,NA,NA,89
