"SubjectTag","ExtendedID","Generation","Gender","RaceCohort","SiblingCountInNls","BirthOrderInNls","SimilarAgeCount","HasMzPossibly","KidCountBio","KidCountInNls","Mob","LastSurveyYearCompleted","AgeAtLastSurvey","IsDead","DeathDate"
918800,9188,1,2,2,2,1,1,0,0,0,1960-01-15,2010,50.0479125976562,0,NA
918900,9188,1,1,2,2,2,1,0,3,0,1961-12-15,2010,48.2819976806641,0,NA
919000,9190,1,1,2,1,1,1,0,0,0,1961-03-15,2010,49.1197814941406,0,NA
919100,9191,1,1,2,3,1,1,0,3,0,1960-09-15,2010,49.3524971008301,0,NA
919200,9191,1,2,2,3,2,1,0,2,2,1962-04-15,2010,47.6659812927246,0,NA
919201,9191,2,2,2,2,1,1,0,1,NA,1977-11-15,2010,32.1478424072266,0,NA
919202,9191,2,2,2,2,2,1,0,1,NA,1989-02-15,2010,20.9664611816406,0,NA
919300,9191,1,2,2,3,3,1,0,1,1,1964-10-15,2010,45.3880920410156,0,NA
919301,9191,2,1,2,1,1,1,0,0,NA,1999-06-15,2008,8.98562622070312,0,NA
919400,9194,1,1,2,1,1,1,0,4,0,1957-09-15,2010,52.5694732666016,0,NA
919500,9195,1,2,2,2,1,1,0,1,1,1958-11-15,2010,51.2635192871094,0,NA
919501,9195,2,2,2,1,1,1,0,NA,NA,1982-09-15,2010,27.28542137146,0,NA
919600,9195,1,1,2,2,2,1,0,3,0,1960-07-15,2010,49.7741279602051,0,NA
919700,9197,1,1,2,4,2,1,0,7,0,1958-08-15,2010,51.4962348937988,0,NA
919800,9197,1,1,2,4,1,1,0,1,0,1957-02-15,2010,52.9390830993652,0,NA
919900,9197,1,2,2,4,3,1,0,2,2,1963-02-15,2010,47.0171127319336,0,NA
919901,9197,2,1,2,2,1,1,0,0,NA,1998-11-15,2008,9.58795356750488,0,NA
919902,9197,2,2,2,2,2,1,0,0,NA,2000-03-15,2008,8.25735759735107,0,NA
920000,9197,1,1,2,4,4,1,0,3,0,1964-10-15,2004,39.8247756958008,0,NA
920100,9201,1,2,2,1,1,1,0,2,2,1959-08-15,2006,46.6639289855957,0,NA
920101,9201,2,2,2,2,1,1,0,2,NA,1976-02-15,2010,33.8179321289062,0,NA
920102,9201,2,2,2,2,2,1,0,2,NA,1977-12-15,2010,32.5722122192383,0,NA
920200,9202,1,2,2,1,1,1,0,1,1,1961-08-15,1994,33.1279945373535,0,NA
920201,9202,2,1,2,1,1,1,0,NA,NA,1976-01-15,NA,NA,0,NA
920300,9203,1,1,2,1,1,1,0,2,0,1958-10-15,2010,51.5865859985352,0,NA
920400,9204,1,1,2,3,1,1,0,8,0,1960-10-15,2010,49.2594108581543,0,NA
920500,9204,1,2,2,3,2,1,0,3,3,1961-11-15,2010,48.1560592651367,0,NA
920501,9204,2,1,2,3,1,1,0,0,NA,1981-09-15,2010,28.443531036377,0,NA
920502,9204,2,1,2,3,2,1,0,0,NA,1984-10-15,2010,25.8918552398682,0,NA
920503,9204,2,2,2,3,3,1,0,NA,NA,1993-08-15,2010,16.3969879150391,0,NA
920600,9204,1,2,2,3,3,1,0,2,2,1964-07-15,2010,45.4127311706543,0,NA
920601,9204,2,1,2,2,1,1,0,1,NA,1983-11-15,2010,26.2313480377197,0,NA
920602,9204,2,1,2,2,2,1,0,0,NA,1985-01-15,2010,25.2539348602295,0,NA
920700,9207,1,1,3,1,1,1,0,0,0,1958-07-15,1990,32.0355911254883,0,NA
920800,9208,1,2,3,1,1,1,0,1,1,1958-06-15,1990,32.3477058410645,0,NA
920801,9208,2,2,3,1,1,1,0,0,NA,1974-10-15,1988,13.7850790023804,0,NA
920900,9209,1,1,3,4,2,1,0,2,0,1961-11-15,1990,28.7091026306152,0,NA
921000,9209,1,1,3,4,3,1,0,0,0,1963-07-15,1990,27.082820892334,0,NA
921100,9209,1,1,3,4,4,1,0,0,0,1964-09-15,1990,25.8343601226807,0,NA
921200,9209,1,1,3,4,1,1,0,0,0,1958-04-15,1988,30.2970561981201,0,NA
921300,9213,1,1,3,1,1,1,0,0,0,1964-10-15,1990,25.7549629211426,0,NA
921400,9214,1,2,1,1,1,1,0,4,4,1959-09-15,2010,50.4777565002441,0,NA
921401,9214,2,2,1,4,1,1,0,2,NA,1982-06-15,2010,27.6331272125244,0,NA
921402,9214,2,2,1,4,2,1,0,1,NA,1983-05-15,2010,26.6584529876709,0,NA
921403,9214,2,2,1,4,3,1,0,NA,NA,1985-06-15,2010,24.5639972686768,0,NA
921404,9214,2,2,1,4,4,1,0,1,NA,1986-05-15,2010,24.355920791626,0,NA
921500,9215,1,1,2,2,1,1,0,2,0,1961-04-15,2008,47.5509910583496,0,NA
921600,9215,1,1,2,2,2,1,0,5,0,1963-09-15,2010,46.4503746032715,0,NA
921700,9217,1,1,3,2,1,1,0,2,0,1963-07-15,1990,26.9979457855225,0,NA
921800,9217,1,1,3,2,2,1,0,2,0,1964-12-15,1990,25.5770015716553,0,NA
921900,9219,1,2,2,1,1,1,0,1,1,1962-03-15,2006,44.2874755859375,0,NA
921901,9219,2,1,2,1,1,1,0,0,NA,2000-11-15,2006,5.61533212661743,0,NA
922000,9220,1,2,1,1,1,1,0,2,2,1958-10-15,2008,49.3141670227051,0,NA
922001,9220,2,2,1,2,1,1,0,NA,NA,1974-05-15,2006,32.558521270752,0,NA
922002,9220,2,2,1,2,2,1,0,NA,NA,1978-03-15,2008,29.9000682830811,0,NA
922100,9221,1,2,1,3,1,1,0,1,1,1958-03-15,2010,52.2655715942383,0,NA
922101,9221,2,1,1,1,1,1,0,NA,NA,1991-12-15,2010,18.5215606689453,0,NA
922200,9221,1,2,1,3,2,1,0,0,0,1960-08-15,2010,49.5331954956055,0,NA
922300,9221,1,2,1,3,3,1,0,2,2,1962-07-15,2010,47.4962348937988,0,NA
922301,9221,2,1,1,2,1,1,0,0,NA,1988-12-15,2010,21.1006164550781,0,NA
922302,9221,2,2,1,2,2,1,0,0,NA,1996-01-15,2008,12.2929496765137,0,NA
922400,9224,1,1,2,2,1,1,0,5,0,1960-05-15,2010,49.6728286743164,0,NA
922500,9224,1,2,2,2,2,1,0,0,0,1961-06-15,2010,48.6078033447266,0,NA
922600,9226,1,1,3,3,2,1,0,0,0,1962-06-15,1990,28.1423683166504,0,NA
