"R0000100","R0214700","R0214800","R9908100","R9908200","R9908300","R9908600","R9909700","R9909800","R9910400"
6371,2,2,19,21,22,-999,-997,-997,2
6372,2,2,17,25,44,27,120,0,0
6373,2,2,-998,-998,-998,-999,-998,-998,0
6374,2,2,16,25,38,37,246,0,0
6375,2,2,15,16,18,20,51,0,0
6376,2,2,-998,-998,-998,-999,-998,-998,0
6377,2,2,25,-997,-997,20,53,1,0
6378,2,1,23,-997,-997,22,6,1,-4
6379,2,2,20,36,-996,-999,-997,-997,0
6380,2,2,17,-997,-997,30,155,0,0
6381,2,2,16,19,-996,26,117,0,0
6382,2,2,19,25,-996,-999,-997,-997,0
6383,2,2,16,17,22,24,105,0,0
6384,2,2,17,21,27,-999,-997,-997,0
6385,2,2,-998,-998,-998,-999,-998,-998,0
6386,2,1,19,-997,-997,-999,-997,-997,-4
6387,2,2,22,28,-996,22,9,1,0
6388,2,1,23,32,36,31,88,0,-4
6389,2,2,16,22,-996,-999,-997,-997,0
6390,2,1,31,33,-996,29,26,1,-4
6391,2,1,-998,-998,-998,-999,-998,-998,-4
6392,2,1,32,34,-996,25,84,1,-4
6393,2,2,19,22,-996,23,53,0,0
6394,2,2,18,19,26,-999,-997,-997,0
6395,2,1,20,-997,-997,-3,-999,-999,-4
6396,2,2,20,23,-996,26,70,0,0
6397,2,2,37,-997,-997,41,54,0,1
6398,2,1,-998,-998,-998,-999,-998,-998,-4
6399,2,2,14,16,17,14,3,1,0
6400,2,2,16,19,21,-999,-997,-997,0
6401,2,1,19,24,-996,32,149,0,-4
6402,2,1,24,-997,-997,31,81,0,-4
6403,2,1,19,-997,-997,-999,-997,-997,-4
6404,2,2,15,20,-996,43,324,0,0
6405,2,2,16,30,-996,43,330,0,0
6406,2,1,18,22,-3,34,192,0,-4
6407,2,2,18,23,28,25,78,0,0
6408,2,2,31,32,-996,-999,-997,-997,0
6409,2,2,19,25,27,-999,-997,-997,0
6410,2,2,18,27,-996,-999,-997,-997,0
6411,2,1,22,24,28,25,26,0,-4
6412,2,2,31,-997,-997,42,140,0,0
6413,2,2,18,-997,-997,-999,-997,-997,0
6414,2,2,16,18,23,21,61,0,0
6415,2,1,19,-997,-997,-999,-997,-997,-4
6416,2,2,17,20,28,-999,-997,-997,0
6417,2,2,32,33,-996,23,104,1,0
6418,2,2,-998,-998,-998,24,-998,-998,1
6419,2,1,26,34,-996,-999,-997,-997,-4
6420,2,1,-998,-998,-998,-999,-998,-998,-4
6421,2,1,-998,-998,-998,-999,-998,-998,-4
6422,2,2,-998,-998,-998,38,-998,-998,0
6423,2,1,25,-997,-997,-999,-997,-997,-4
6424,3,2,25,-997,-997,-999,-997,-997,0
6425,3,1,24,-997,-997,20,44,1,-4
6426,2,2,21,26,-996,20,12,1,1
6427,2,2,23,24,-996,-999,-997,-997,0
6428,2,2,19,42,-996,36,212,0,1
6429,2,2,18,21,21,18,3,0,0
6430,2,1,24,26,27,34,121,0,-4
6431,2,1,17,-997,-997,-999,-997,-997,-4
6432,2,1,24,-997,-997,-999,-997,-997,-4
6433,2,1,22,-997,-997,22,4,1,-4
6434,2,2,16,25,32,-999,-997,-997,0
6435,2,1,23,-997,-997,22,13,1,-4
6436,3,1,20,20,-996,17,38,1,-4
6437,3,2,29,-997,-997,22,81,1,0
6438,3,2,-998,-998,-998,20,-998,-998,0
6439,3,1,-998,-998,-998,27,-998,-998,-4
6440,2,1,-998,-998,-998,-3,-998,-998,-4
6441,2,1,28,34,-996,27,14,1,-4
6442,2,2,21,22,24,19,26,1,0
6443,2,1,20,25,-996,21,3,0,-4
6444,2,2,20,25,-996,20,3,0,0
6445,2,2,16,19,22,18,24,0,0
6446,3,1,19,-997,-997,18,6,1,-4
6447,3,1,-998,-998,-998,-999,-998,-998,-4
6448,2,2,19,21,25,18,12,1,0
6449,2,2,24,-997,-997,-999,-997,-997,1
6450,2,2,18,28,-996,38,243,0,1
6451,2,1,28,-997,-997,-999,-997,-997,-4
6452,2,1,-998,-998,-998,-999,-998,-998,-4
6453,2,1,19,-997,-997,-999,-997,-997,-4
6454,2,1,21,25,-996,24,41,0,-4
6455,2,2,22,24,27,20,32,1,1
6456,2,1,-998,-998,-998,-999,-998,-998,-4
6457,2,2,29,35,-996,22,89,1,4
6458,2,1,28,-997,-997,-999,-997,-997,-4
6459,2,2,-998,-998,-998,-999,-998,-998,0
6460,2,1,-998,-998,-998,-999,-998,-998,-4
6461,2,2,23,30,-996,-999,-997,-997,0
6462,2,1,37,-997,-997,29,87,1,-4
6463,3,1,20,22,24,21,0,1,-4
6464,3,2,-998,-998,-998,16,-998,-998,1
6465,2,1,34,-997,-997,-999,-997,-997,-4
6466,2,1,30,33,35,30,5,1,-4
6467,2,1,32,37,-996,31,12,1,-4
6468,2,1,22,34,34,33,130,0,-4
6469,2,1,22,24,39,38,190,0,-4
6470,2,2,28,32,44,24,41,1,3
6471,2,1,-998,-998,-998,-999,-998,-998,-4
6472,2,2,22,25,27,-999,-997,-997,0
6473,2,1,19,28,31,25,71,0,-4
6474,2,2,-998,-998,-998,23,-998,-998,6
6475,2,2,-998,-998,-998,30,-998,-998,0
6476,2,1,22,-997,-997,36,170,0,-4
