"","Subject1Tag","Subject2Tag","ExtendedID","R","RelationshipPath","Intell_1","Strength_1","Orientation_1","Intell_2","Strength_2","Orientation_2"
"4733",1007100,1007200,10071,0.5,1,0.107,-0.54666941,-1,3.417,-0.106211415,-1
"4734",1007100,1007300,10071,0.5,1,0.107,-0.54666941,-1,1.73,-1.379335208,0
"4735",1007200,1007300,10071,0.5,1,3.417,-0.106211415,-1,1.73,-1.379335208,0
"4736",1007500,1007600,10075,0.5,1,2.515,-1.379335208,0,19.102,-1.379335208,0
"4737",1007700,1007800,10077,0.5,1,40.422,-0.128161715,0,30.71,-0.085843985,1
"4738",1008200,1008300,10082,0.5,1,10.284,0.4294982629,-1,11.403,NA,NA
"4739",1008200,1008400,10082,0.5,1,10.284,0.4294982629,-1,17.774,NA,NA
"4740",1008300,1008400,10082,0.5,1,11.403,NA,NA,17.774,NA,NA
"4741",1008200,1008500,10082,0.5,1,10.284,0.4294982629,-1,6.732,0.965207941,-1
"4742",1008400,1008500,10082,0.5,1,17.774,NA,NA,6.732,0.965207941,-1
"4743",1008300,1008500,10082,0.5,1,11.403,NA,NA,6.732,0.965207941,-1
"4744",1008700,1008800,10087,0.75,1,23.684,NA,NA,26.208,NA,NA
"4745",1009100,1009200,10091,NA,1,55.68,NA,NA,17.234,NA,NA
"4746",1009300,1009400,10093,NA,1,17.336,NA,NA,40.377,NA,NA
"4747",1009700,1009800,10097,NA,1,4.531,NA,NA,5.09,NA,NA
"4748",1009700,1009900,10097,NA,1,4.531,NA,NA,4.711,NA,NA
"4749",1009800,1009900,10097,NA,1,5.09,NA,NA,4.711,NA,NA
"4750",1010000,1010100,10100,NA,1,8.019,NA,NA,43.142,NA,NA
"4751",1010200,1010300,10102,NA,1,15.005,NA,NA,13.74,NA,NA
"4752",1010700,1010800,10107,NA,1,14.593,NA,NA,11.884,NA,NA
"4753",1010800,1010900,10107,NA,1,11.884,NA,NA,33.208,NA,NA
"4754",1010700,1010900,10107,NA,1,14.593,NA,NA,33.208,NA,NA
"4755",1011800,1011900,10118,0.5,1,9.238,NA,NA,26.558,NA,NA
"4756",1012000,1012100,10120,NA,1,57.366,NA,NA,57.435,NA,NA
"4757",1012600,1012700,10126,0.5,1,32.574,0.6871693869,-1,27.864,0.614300512,-1
"4758",1012600,1012800,10126,0.5,1,32.574,0.6871693869,-1,6.657,0.4091308328,-1
"4759",1012700,1012800,10126,0.5,1,27.864,0.614300512,-1,6.657,0.4091308328,-1
"4760",1013000,1013100,10130,0.25,1,12.052,NA,NA,27.121,NA,NA
"4761",1013000,1013200,10130,0.5,1,12.052,NA,NA,47.612,0.0094076986,-1
"4762",1013100,1013200,10130,0.5,1,27.121,NA,NA,47.612,0.0094076986,-1
